,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Region,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
104362,32571193,02/01/2016 12:59:30 AM,02/01/2016 07:48:16 AM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10034,,,,,,,,NEW YORK,,Closed,02/15/2016 12:59:30 AM,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,02/01/2016 07:48:16 AM,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Nature Center,MANHATTAN,,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
5342,32704902,02/16/2016 12:18:30 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11426,,,,,,,,BELLEROSE,,Assigned,03/01/2016 12:18:30 PM,The Department of Parks and Recreation usually requires 14 days to respond to this type of complaint. Please note your Service Request number for future reference.,,13 QUEENS,QUEENS,,,Alley Pond Park,QUEENS,,BELLEROSE,NY,11426,N,,,,,,,,,,,,,,
107148,32569928,01/31/2016 10:28:25 AM,01/31/2016 10:38:56 AM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Beach,10465,,,PELHAM BAY PARK,,,,,BRONX,,Closed,02/14/2016 10:28:25 AM,The injured person has been transported to a hospital.,01/31/2016 10:38:56 AM,Unspecified BRONX,BRONX,,,Beach - Orchard,BRONX,,BRONX,NY,10465,,,,,,,,,,,,,,,
78330,32609162,02/05/2016 11:05:25 AM,02/05/2016 02:24:22 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Recreation Center,11211,261 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 1 STREET,METROPOLITAN AVENUE,,,,BROOKLYN,,Closed,02/19/2016 11:05:25 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 02:24:23 PM,01 BROOKLYN,BROOKLYN,995144.0,199789.0,Recreation Center - Metropolitan Pool and Fitness Center,BROOKLYN,,BROOKLYN,NY,11211,N,,,,,,,,,,,,40.71504468591181,-73.96070244230953,"(40.715044685911806, -73.96070244230953)"
106072,32572670,01/31/2016 03:27:19 PM,02/02/2016 11:48:53 AM,DPR,Department of Parks and Recreation,Illegal Tree Damage,Branches Damaged,Park,11207,,,,,,,,BROOKLYN,,Closed,02/09/2016 08:27:12 AM,The condition was inspected and it was determined that no work order was necessary. The condition will not be inspected again for at least 90 days.,02/02/2016 11:48:53 AM,Unspecified BROOKLYN,BROOKLYN,,,Upper Highland Playground,BROOKLYN,,BROOKLYN,NY,11207,,,,,,,,,,,,,,,
4202,32702664,02/16/2016 02:26:03 PM,02/16/2016 02:33:00 PM,DPR,Department of Parks and Recreation,DPR Internal,Property,Park,11201,,,,,,,,BROOKLYN,,Closed,03/01/2016 02:26:03 PM,The reported condition was inspected and a report has been filed.,02/16/2016 02:33:00 PM,02 BROOKLYN,BROOKLYN,,,Cadman Plaza Park,BROOKLYN,,BROOKLYN,NY,11201,,,,,,,,,,,,,,,
106879,32572595,01/31/2016 11:47:59 AM,02/04/2016 12:25:24 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,11354,,,,,,,,FLUSHING,,Closed,02/03/2016 11:47:59 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/04/2016 12:25:24 PM,07 QUEENS,QUEENS,,,Bland Playground,QUEENS,,FLUSHING,NY,11354,,,,,,,,,,,,,,,
106715,32571045,01/31/2016 12:30:59 PM,01/31/2016 01:08:26 PM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,10021,,,,,,,,NEW YORK,,Closed,02/14/2016 12:30:59 PM,The injured person has been transported to a hospital.,01/31/2016 01:08:26 PM,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,,NEW YORK,NY,10021,,,,,,,,,,,,,,,
106830,32572303,01/31/2016 12:00:45 PM,02/01/2016 03:27:34 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11230,,,,,,,,BROOKLYN,,Closed,02/07/2016 12:00:45 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/01/2016 03:27:34 PM,12 BROOKLYN,BROOKLYN,,,Col David Marcus Playground,BROOKLYN,,BROOKLYN,NY,11230,N,,,,,,,,,,,,,,
10831,32688272,02/15/2016 04:59:13 PM,02/15/2016 05:03:10 PM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,10033,2301 AMSTERDAM AVENUE,AMSTERDAM AVENUE,CROSS BRONX EXPWY NB ET 1 B,WEST 174 STREET,,,,NEW YORK,,Closed,02/29/2016 04:59:13 PM,The injured person has been transported to a hospital.,02/15/2016 05:03:10 PM,04 MANHATTAN,MANHATTAN,1002475.0,246654.0,Recreation Center - Highbridge,MANHATTAN,,NEW YORK,NY,10033,,,,,,,,,,,,,40.843664599860354,-73.93413045986362,"(40.843664599860354, -73.93413045986362)"
106657,32570098,01/31/2016 12:48:41 PM,01/31/2016 01:33:47 PM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,,,,,,,,NEW YORK,,Closed,02/14/2016 12:48:41 PM,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,01/31/2016 01:33:47 PM,08 MANHATTAN,MANHATTAN,,,Carl Schurz Park,MANHATTAN,,NEW YORK,NY,10028,,,,,,,,,,,,,,,
106534,32570163,01/31/2016 01:23:07 PM,02/02/2016 10:39:10 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,11356,,,,,,,,COLLEGE POINT,,Closed,02/03/2016 01:23:07 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/02/2016 10:39:10 AM,07 QUEENS,QUEENS,,,Macneil Park,QUEENS,,COLLEGE POINT,NY,11356,,,,,,,,,,,,,,,
4014,32701853,02/16/2016 02:42:09 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11217,,,,,,,,BROOKLYN,,Assigned,03/01/2016 02:42:09 PM,The Department of Parks and Recreation usually requires 14 days to respond to this type of complaint. Please note your Service Request number for future reference.,,Unspecified BROOKLYN,BROOKLYN,,,Fort Greene Playground,BROOKLYN,,BROOKLYN,NY,11217,N,,,,,,,,,,,,,,
13908,32692149,02/15/2016 11:10:37 AM,02/15/2016 11:29:37 AM,DPR,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,10312,,,,,,,,STATEN ISLAND,,Closed,02/20/2016 11:10:37 AM,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,02/15/2016 11:29:37 AM,03 STATEN ISLAND,STATEN ISLAND,,,Wolfes Pond Park,STATEN ISLAND,,STATEN ISLAND,NY,10312,,,,,,,,,,,,,,,
106967,32571839,01/31/2016 11:23:33 AM,01/31/2016 11:34:04 AM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11213,,,,,,,,BROOKLYN,,Closed,02/14/2016 11:23:33 AM,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,01/31/2016 11:34:04 AM,08 BROOKLYN,BROOKLYN,,,Brower Park,BROOKLYN,,BROOKLYN,NY,11213,N,,,,,,,,,,,,,,
107888,32572294,01/31/2016 03:22:05 AM,02/02/2016 10:40:21 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11222,,,,,,,,BROOKLYN,,Closed,02/07/2016 03:22:05 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/02/2016 10:40:21 AM,01 BROOKLYN,BROOKLYN,,,Monsignor Mcgolrick Park,BROOKLYN,,BROOKLYN,NY,11222,N,,,,,,,,,,,,,,
87719,32594981,02/03/2016 06:32:58 PM,02/10/2016 09:48:50 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,11364,,,,,,,,OAKLAND GARDENS,,Closed,02/17/2016 06:32:58 PM,The Department of Parks and Recreation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Transportation,02/10/2016 09:48:51 AM,11 QUEENS,QUEENS,,,Linnaeus Playground,QUEENS,,OAKLAND GARDENS,NY,11364,N,,,,,,,,,,,,,,
93876,32585453,02/02/2016 05:50:08 PM,02/05/2016 12:18:07 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Pool,11434,,,,,,,,JAMAICA,,Closed,02/16/2016 05:50:08 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 12:18:07 PM,12 QUEENS,QUEENS,,,Pool - Roy Wilkins,QUEENS,,JAMAICA,NY,11434,N,,,,,,,,,,,,,,
108027,32568746,01/31/2016 01:39:42 AM,02/04/2016 03:56:37 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Pool,10001,,,,,,,,NEW YORK,,Closed,02/14/2016 01:39:42 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/04/2016 03:56:37 PM,06 MANHATTAN,MANHATTAN,,,Pool - Asser Levy,MANHATTAN,,NEW YORK,NY,10001,N,,,,,,,,,,,,,,
108017,32564859,01/31/2016 01:44:40 AM,02/04/2016 03:53:23 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Pool,10001,,,,,,,,NEW YORK,,Closed,02/14/2016 01:44:40 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/04/2016 03:53:23 PM,06 MANHATTAN,MANHATTAN,,,Pool - Asser Levy,MANHATTAN,,NEW YORK,NY,10001,N,,,,,,,,,,,,,,
87687,32597387,02/03/2016 06:40:51 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,11364,,,,,,,,OAKLAND GARDENS,,Assigned,02/17/2016 06:40:51 PM,The Department of Parks and Recreation usually requires 14 days to respond to this type of complaint. Please note your Service Request number for future reference.,,11 QUEENS,QUEENS,,,Seven Gables Playground - IS 74,QUEENS,,OAKLAND GARDENS,NY,11364,N,,,,,,,,,,,,,,
105945,32570458,01/31/2016 03:58:32 PM,02/02/2016 09:37:46 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11215,,,,,,,,BROOKLYN,,Closed,02/03/2016 03:58:32 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/02/2016 09:37:46 AM,Unspecified BROOKLYN,BROOKLYN,,,Prospect Park - Lincoln Road Playground,BROOKLYN,,BROOKLYN,NY,11215,N,,,,,,,,,,,,,,
94534,32588122,02/02/2016 03:53:58 PM,02/08/2016 02:38:56 PM,DPR,Department of Parks and Recreation,Animal in a Park,Dead Animal,Park,11203,,,,,,,,BROOKLYN,,Closed,02/09/2016 03:53:58 PM,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",02/08/2016 02:38:56 PM,17 BROOKLYN,BROOKLYN,,,Paerdegat Park,BROOKLYN,,BROOKLYN,NY,11203,N,,,,,,,,,,,,,,
87908,32594938,02/03/2016 05:50:07 PM,02/05/2016 11:57:57 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,11361,,,,,,,,BAYSIDE,,Closed,02/17/2016 05:50:07 PM,The Department of Parks and Recreation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Transportation,02/05/2016 11:57:57 AM,11 QUEENS,QUEENS,,,Marie Curie Park - JHS 158,QUEENS,,BAYSIDE,NY,11361,N,,,,,,,,,,,,,,
87944,32594951,02/03/2016 05:40:56 PM,02/05/2016 01:54:39 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,11360,,,,,,,,BAYSIDE,,Closed,02/17/2016 05:40:56 PM,The Department of Parks and Recreation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Transportation,02/05/2016 01:54:39 PM,11 QUEENS,QUEENS,,,Bayside Fields,QUEENS,,BAYSIDE,NY,11360,N,,,,,,,,,,,,,,
87873,32594222,02/03/2016 06:01:18 PM,,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Park,11211,,,,,,,,BROOKLYN,,Assigned,02/12/2016 12:13:41 PM,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,02/04/2016 12:14:22 PM,01 BROOKLYN,BROOKLYN,,,Mccarren Park,BROOKLYN,,BROOKLYN,NY,11211,N,,,,,,,,,,,,,,
4336,32695482,02/16/2016 02:15:39 PM,02/16/2016 02:35:19 PM,DPR,Department of Parks and Recreation,DPR Internal,Property,Park,10021,,,,,,,,NEW YORK,,Closed,03/01/2016 02:15:39 PM,The reported condition was inspected and a report has been filed.,02/16/2016 02:35:19 PM,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,,NEW YORK,NY,10021,,,,,,,,,,,,,,,
94053,32587351,02/02/2016 05:10:59 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,10039,,,,,,,,NEW YORK,,Assigned,02/05/2016 05:10:59 PM,The Department of Parks and Recreation usually requires 3 days to respond to this type of complaint. Please note your Service Request number for future reference.,,Unspecified MANHATTAN,MANHATTAN,,,Harlem Lane Playground,MANHATTAN,,NEW YORK,NY,10039,N,,,,,,,,,,,,,,
107698,32573746,01/31/2016 07:12:02 AM,02/01/2016 04:16:44 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11432,,,,,,,,JAMAICA,,Closed,02/07/2016 07:12:02 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/01/2016 04:16:45 PM,12 QUEENS,QUEENS,,,Rufus King Park,QUEENS,,JAMAICA,NY,11432,N,,,,,,,,,,,,,,
107662,32571474,01/31/2016 07:28:58 AM,02/02/2016 08:31:07 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,10451,,,,,,,,BRONX,,Closed,02/03/2016 07:28:58 AM,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time.  All complaints are used for future enforcement planning.,02/02/2016 08:31:07 AM,04 BRONX,BRONX,,,Franz Sigel Park,BRONX,,BRONX,NY,10451,N,,,,,,,,,,,,,,
94561,32591034,02/02/2016 03:49:10 PM,02/03/2016 09:37:30 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,11434,,,,,,,,JAMAICA,,Closed,02/16/2016 03:49:10 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/03/2016 09:37:30 AM,12 QUEENS,QUEENS,,,Baisley Pond Park - Lakeview Lane Playground,QUEENS,,JAMAICA,NY,11434,N,,,,,,,,,,,,,,
103595,32581093,02/01/2016 09:03:50 AM,02/01/2016 04:19:01 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11365,,,,,,,,FRESH MEADOWS,,Closed,02/08/2016 09:03:50 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/01/2016 04:19:01 PM,07 QUEENS,QUEENS,,,Kissena Park,QUEENS,,FRESH MEADOWS,NY,11365,N,,,,,,,,,,,,,,
100847,32575065,02/01/2016 02:54:12 PM,02/03/2016 11:17:48 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11211,,,,,,,,BROOKLYN,,Closed,02/15/2016 02:54:12 PM,Work to correct the reported condition has been deferred because of seasonal considerations and will be corrected as soon as possible.,02/03/2016 11:17:48 AM,01 BROOKLYN,BROOKLYN,,,Rodney Playground North,BROOKLYN,,BROOKLYN,NY,11211,N,,,,,,,,,,,,,,
7103,32698866,02/16/2016 09:35:37 AM,02/16/2016 11:50:55 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11237,,,,,,,,BROOKLYN,,Closed,02/23/2016 09:35:37 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/16/2016 11:50:55 AM,08 BROOKLYN,BROOKLYN,,,Maria Hernandez Park,BROOKLYN,,BROOKLYN,NY,11237,N,,,,,,,,,,,,,,
96848,32589027,02/02/2016 10:31:14 AM,02/09/2016 10:40:23 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10019,,,,,,,,NEW YORK,,Closed,02/16/2016 10:31:14 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/09/2016 10:40:23 AM,04 MANHATTAN,MANHATTAN,,,Gutenberg Playground,MANHATTAN,,NEW YORK,NY,10019,N,,,,,,,,,,,,,,
81486,32602400,02/04/2016 06:17:12 PM,02/10/2016 10:35:48 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,10065,,,,,,,,NEW YORK,,Closed,02/18/2016 06:17:12 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/10/2016 10:35:48 AM,Unspecified MANHATTAN,MANHATTAN,,,Catbird Playground,MANHATTAN,,NEW YORK,NY,10065,N,,,,,,,,,,,,,,
17261,32678628,02/14/2016 10:30:10 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,10462,,,,,,,,BRONX,,Open,02/28/2016 10:30:10 PM,The Department of Parks and Recreation usually requires 14 days to respond to this type of complaint. Please note your Service Request number for future reference.,,Unspecified BRONX,BRONX,,,Van Cortlandt Park - Golf House and Lower Putnam Trail,BRONX,,BRONX,NY,10462,,,,,,,,,,,,,,,
81637,32604500,02/04/2016 05:44:02 PM,02/10/2016 12:02:40 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Park,11385,,,,,,,,RIDGEWOOD,,Closed,02/07/2016 05:44:02 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/10/2016 12:02:40 PM,Unspecified QUEENS,QUEENS,,,Forest Park,QUEENS,,RIDGEWOOD,NY,11385,N,,,,,,,,,,,,,,
81792,32601491,02/04/2016 05:15:20 PM,02/10/2016 11:53:40 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Recreation Center,11434,,,,,,,,JAMAICA,,Closed,02/18/2016 05:15:20 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/10/2016 11:53:40 AM,12 QUEENS,QUEENS,,,Recreation Center - Roy Wilkins,QUEENS,,JAMAICA,NY,11434,N,,,,,,,,,,,,,,
110506,32564014,01/30/2016 01:19:41 PM,02/01/2016 04:15:41 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11377,,,,,,,,WOODSIDE,,Closed,02/06/2016 01:19:41 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/01/2016 04:15:41 PM,02 QUEENS,QUEENS,,,Lawerence Virgilio Playground,QUEENS,,WOODSIDE,NY,11377,N,,,,,,,,,,,,,,
100515,32579465,02/01/2016 03:45:21 PM,02/01/2016 03:48:58 PM,DPR,Department of Parks and Recreation,DPR Internal,Locker Break-in/Incident,Recreation Center,10027,18 MOUNT MORRIS PARK WEST,MOUNT MORRIS PARK WEST,WEST 122 STREET,WEST 121 STREET,,,,NEW YORK,,Closed,02/15/2016 03:45:21 PM,The reported condition was inspected and a report has been filed.,02/01/2016 03:48:58 PM,11 MANHATTAN,MANHATTAN,999350.0,232500.0,Recreation Center - Pelham Fritz,MANHATTAN,,NEW YORK,NY,10027,,,,,,,,,,,,,40.80482179264163,-73.94545681211619,"(40.80482179264163, -73.94545681211618)"
110486,32565709,01/30/2016 01:24:23 PM,02/10/2016 10:21:05 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Park,10034,,,,,,,,NEW YORK,,Closed,02/02/2016 01:24:23 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/10/2016 10:21:05 AM,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Indian Road Playground,MANHATTAN,,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
110377,32565008,01/30/2016 01:51:16 PM,02/02/2016 10:10:01 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11235,,,,,,,,BROOKLYN,,Closed,02/06/2016 01:51:16 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/02/2016 10:10:01 AM,18 BROOKLYN,BROOKLYN,,,Marine Park,BROOKLYN,,BROOKLYN,NY,11235,N,,,,,,,,,,,,,,
85793,32601841,02/04/2016 08:16:50 AM,02/04/2016 08:30:32 AM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,11215,,,,,,,,BROOKLYN,,Closed,02/18/2016 08:16:50 AM,The injured person has been transported to a hospital.,02/04/2016 08:30:32 AM,Unspecified BROOKLYN,BROOKLYN,,,Prospect Park,BROOKLYN,,BROOKLYN,NY,11215,,,,,,,,,,,,,,,
110386,32564980,01/30/2016 01:49:11 PM,02/01/2016 10:12:41 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,10456,,,,,,,,BRONX,,Closed,02/06/2016 01:49:11 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/01/2016 10:12:41 AM,03 BRONX,BRONX,,,Hines Park,BRONX,,BRONX,NY,10456,N,,,,,,,,,,,,,,
81275,32599868,02/04/2016 07:21:17 PM,02/08/2016 03:49:48 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11217,,,,,,,,BROOKLYN,,Closed,02/07/2016 07:21:17 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/08/2016 03:49:48 PM,02 BROOKLYN,BROOKLYN,,,North Pacific Playground,BROOKLYN,,BROOKLYN,NY,11217,N,,,,,,,,,,,,,,
110060,32566946,01/30/2016 03:14:22 PM,02/03/2016 03:53:25 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,10463,,,,,,,,BRONX,,Closed,02/02/2016 03:14:22 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/03/2016 03:53:25 PM,08 BRONX,BRONX,,,Henry Hudson Park,BRONX,,BRONX,NY,10463,N,,,,,,,,,,,,,,
1570,32696668,02/16/2016 06:47:11 PM,,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Park,10456,,,,,,,,BRONX,,Open,02/21/2016 06:47:11 PM,"The Department of Parks and Recreation usually requires 5 days to inspect this issue and may take up to 30 days to resolve it, if warranted.  Please note your Service Request number for future reference.",,03 BRONX,BRONX,,,Crotona Park,BRONX,,BRONX,NY,10456,,,,,,,,,,,,,,,
110054,32567339,01/30/2016 03:15:19 PM,02/04/2016 09:21:22 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,11214,,,,,,,,BROOKLYN,,Closed,02/13/2016 03:15:19 PM,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,02/04/2016 09:21:22 AM,13 BROOKLYN,BROOKLYN,,,Calvert Vaux,BROOKLYN,,BROOKLYN,NY,11214,N,,,,,,,,,,,,,,
75874,32610857,02/05/2016 05:30:24 PM,02/10/2016 09:07:11 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,11224,,,,,,,,BROOKLYN,,Closed,02/08/2016 05:30:24 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/10/2016 09:07:11 AM,13 BROOKLYN,BROOKLYN,,,Kaiser Park,BROOKLYN,,BROOKLYN,NY,11224,,,,,,,,,,,,,,,
101395,32577539,02/01/2016 01:41:26 PM,02/10/2016 10:31:09 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,10033,,,,,,,,NEW YORK,,Closed,02/04/2016 01:41:26 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/10/2016 10:31:09 AM,12 MANHATTAN,MANHATTAN,,,Bennett Park,MANHATTAN,,NEW YORK,NY,10033,N,,,,,,,,,,,,,,
81208,32599585,02/04/2016 07:45:42 PM,02/05/2016 12:35:03 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Recreation Center,10037,35 WEST 134 STREET,WEST 134 STREET,LENOX TERRACE PLACE,DEAD END,,,,NEW YORK,,Closed,02/18/2016 07:45:42 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 12:35:03 PM,10 MANHATTAN,MANHATTAN,1001000.0,235353.0,Recreation Center - Hansborough,MANHATTAN,,NEW YORK,NY,10037,N,,,,,,,,,,,,40.812649511838494,-73.93948967793926,"(40.812649511838494, -73.93948967793926)"
93214,32582836,02/02/2016 08:24:44 PM,02/04/2016 11:58:25 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11379,,,,,,,,MIDDLE VILLAGE,,Closed,02/09/2016 08:24:44 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/04/2016 11:58:26 AM,05 QUEENS,QUEENS,,,Juniper Valley Park,QUEENS,,MIDDLE VILLAGE,NY,11379,N,,,,,,,,,,,,,,
101473,32578380,02/01/2016 01:32:26 PM,02/01/2016 03:07:33 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11201,,,,,,,,BROOKLYN,,Closed,02/15/2016 01:32:26 PM,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,02/01/2016 03:07:33 PM,Unspecified BROOKLYN,BROOKLYN,,,Brooklyn Bridge Park - Pier 1,BROOKLYN,,BROOKLYN,NY,11201,N,,,,,,,,,,,,,,
110071,32562109,01/30/2016 03:12:36 PM,02/01/2016 10:08:14 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,10463,,,,,,,,BRONX,,Closed,02/06/2016 03:12:36 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/01/2016 10:08:14 AM,08 BRONX,BRONX,,,Henry Hudson Park,BRONX,,BRONX,NY,10463,N,,,,,,,,,,,,,,
101178,32581764,02/01/2016 02:15:56 PM,02/02/2016 11:48:57 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,10023,,,,,,,,NEW YORK,,Closed,02/08/2016 02:15:56 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/02/2016 11:48:57 AM,07 MANHATTAN,MANHATTAN,,,Riverside Park,MANHATTAN,,NEW YORK,NY,10023,N,,,,,,,,,,,,,,
85947,32604101,02/04/2016 07:42:45 AM,02/05/2016 02:00:02 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Beach,11692,,,,,,,,ARVERNE,,Closed,02/11/2016 07:42:45 AM,The Department of Parks and Recreation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Sanitation.,02/05/2016 02:00:02 PM,14 QUEENS,QUEENS,,,Beach - Rockaway,QUEENS,,ARVERNE,NY,11692,N,,,,,,,,,,,,,,
85978,32604998,02/04/2016 07:34:49 AM,02/10/2016 09:36:55 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11417,,,,,,,,OZONE PARK,,Closed,02/07/2016 07:34:49 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/10/2016 09:36:55 AM,10 QUEENS,QUEENS,,,Rocket Park,QUEENS,,OZONE PARK,NY,11417,N,,,,,,,,,,,,,,
